2023-11-29 13:05:26 | INFO | 跟单猿跟单系统启动，跟随交易员：31F08109D363843E
2023-11-29 13:05:28 | INFO | 交易员31F08109D363843E有正在进行中的交易，等待新的交易发生后开始跟随！
2023-11-29 13:05:56 | WARNING | 任务106网络中断，正在尝试重新连接网络...
2023-11-29 13:06:06 | SUCCESS | 网络恢复
2023-11-29 13:06:06 | WARNING | 任务106网络中断，正在尝试重新连接网络...
2023-11-29 13:06:16 | SUCCESS | 网络恢复
2023-11-29 13:06:16 | WARNING | 任务106网络中断，正在尝试重新连接网络...
2023-11-29 13:06:26 | SUCCESS | 网络恢复
2023-11-29 13:06:26 | WARNING | 任务106网络中断，正在尝试重新连接网络...
2023-11-29 13:06:36 | SUCCESS | 网络恢复
2023-11-29 13:06:36 | WARNING | 任务106网络中断，正在尝试重新连接网络...
2023-11-29 13:06:46 | SUCCESS | 网络恢复
2023-11-29 13:06:46 | WARNING | 任务106网络中断，正在尝试重新连接网络...
2023-11-29 13:06:58 | SUCCESS | 网络恢复
2023-11-29 13:11:37 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-29 14:54:29 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-29 17:02:02 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：-10USDT，现仓位：-30USDT
2023-11-29 17:05:47 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：-30USDT，现仓位：-50USDT
2023-11-29 17:12:06 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-29 17:14:43 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-29 18:07:10 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：-50USDT，现仓位：-30USDT
2023-11-29 18:19:45 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：-30USDT，现仓位：-10USDT
2023-11-29 18:20:07 | SUCCESS | 交易员31F08109D363843E进行了平仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-29 18:29:44 | SUCCESS | 交易员31F08109D363843E进行了开仓操作，品种：ETH-USDT-SWAP，杠杆：100，方向：net
2023-11-29 18:34:14 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：10USDT，现仓位：30USDT
2023-11-29 18:40:14 | SUCCESS | 交易员31F08109D363843E进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：30USDT，现仓位：50USDT
2023-11-29 19:02:45 | WARNING | 手动结束跟单，任务ID：106
