2023-11-30 00:05:00 | INFO | 跟单猿跟单系统启动，跟随交易员：EEA569A04A98D4E9
2023-11-30 00:05:02 | INFO | 交易员EEA569A04A98D4E9有正在进行中的交易，等待新的交易发生后开始跟随！
2023-11-30 00:16:08 | SUCCESS | 交易员EEA569A04A98D4E9进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：3440USDT，现仓位：430USDT
2023-11-30 00:16:11 | SUCCESS | 交易员EEA569A04A98D4E9进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：430USDT，现仓位：860USDT
2023-11-30 00:16:14 | SUCCESS | 交易员EEA569A04A98D4E9进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：860USDT，现仓位：1290USDT
2023-11-30 00:16:17 | SUCCESS | 交易员EEA569A04A98D4E9进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：1290USDT，现仓位：1720USDT
2023-11-30 00:37:45 | SUCCESS | 交易员EEA569A04A98D4E9进行了调仓操作，品种：ETH-USDT-SWAP，原仓位：1720USDT，现仓位：3440USDT
2023-11-30 04:26:08 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:26:49 | SUCCESS | 网络恢复
2023-11-30 04:26:49 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:27:30 | SUCCESS | 网络恢复
2023-11-30 04:27:30 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:28:11 | SUCCESS | 网络恢复
2023-11-30 04:28:11 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:28:52 | SUCCESS | 网络恢复
2023-11-30 04:28:52 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 04:29:05 | SUCCESS | 网络恢复
2023-11-30 05:07:37 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 05:07:49 | SUCCESS | 网络恢复
2023-11-30 06:00:14 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:24 | SUCCESS | 网络恢复
2023-11-30 06:00:24 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:35 | SUCCESS | 网络恢复
2023-11-30 06:00:35 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:45 | SUCCESS | 网络恢复
2023-11-30 06:00:45 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:00:55 | SUCCESS | 网络恢复
2023-11-30 06:00:55 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 06:01:07 | SUCCESS | 网络恢复
2023-11-30 08:13:48 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:14:00 | SUCCESS | 网络恢复
2023-11-30 08:24:57 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:25:10 | SUCCESS | 网络恢复
2023-11-30 08:36:10 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:36:23 | SUCCESS | 网络恢复
2023-11-30 08:41:43 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:41:56 | SUCCESS | 网络恢复
2023-11-30 08:52:49 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 08:53:01 | SUCCESS | 网络恢复
2023-11-30 10:56:41 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 10:57:22 | SUCCESS | 网络恢复
2023-11-30 10:57:22 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 10:57:56 | SUCCESS | 网络恢复
2023-11-30 12:01:04 | WARNING | 网络中断，正在尝试重新连接网络...
2023-11-30 12:01:16 | SUCCESS | 网络恢复
2023-11-30 12:24:58 | WARNING | 手动结束跟单，任务ID：114
