2023-12-19 21:17:49 | INFO | 跟单猿跟单系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-19 21:17:57 | INFO | 交易员BE9D269AE6D59DCF有正在进行中的交易，等待新的交易发生后开始跟随！
2023-12-20 02:05:12 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：LINK-USDT-SWAP，杠杆：50，方向：net
2023-12-20 03:57:47 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：BNB-USDT-SWAP，杠杆：20，方向：net
2023-12-20 04:00:25 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：ARB-USDT-SWAP，杠杆：10，方向：net
2023-12-20 13:44:18 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LINK-USDT-SWAP，杠杆：50，方向：net
2023-12-20 17:12:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：ARB-USDT-SWAP，杠杆：10，方向：net
2023-12-20 17:12:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：ALPHA-USDT-SWAP，杠杆：10，方向：net
2023-12-20 17:12:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：SHIB-USDT-SWAP，杠杆：30，方向：net
2023-12-20 17:12:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：DYDX-USDT-SWAP，杠杆：30，方向：net
2023-12-20 17:12:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：IOST-USDT-SWAP，杠杆：14，方向：net
2023-12-20 17:12:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LTC-USDT-SWAP，杠杆：37，方向：net
2023-12-20 17:12:09 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：MKR-USDT-SWAP，杠杆：15，方向：net
2023-12-20 17:14:55 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：ARB-USDT-SWAP，杠杆：10，方向：net
2023-12-20 17:14:55 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：ALPHA-USDT-SWAP，杠杆：10，方向：net
2023-12-20 17:14:55 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：SHIB-USDT-SWAP，杠杆：30，方向：net
2023-12-20 17:14:55 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：DYDX-USDT-SWAP，杠杆：30，方向：net
2023-12-20 17:14:55 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：IOST-USDT-SWAP，杠杆：14，方向：net
2023-12-20 17:14:55 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：LTC-USDT-SWAP，杠杆：37，方向：net
2023-12-20 17:14:55 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：MKR-USDT-SWAP，杠杆：15，方向：net
2023-12-20 19:21:49 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：26340.09USDT，现仓位保证金：25982.03USDT
2023-12-20 21:31:43 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：ARB-USDT-SWAP，杠杆：10，方向：net
2023-12-20 21:32:29 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：DYDX-USDT-SWAP，杠杆：30，方向：net
2023-12-20 21:32:53 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：ALPHA-USDT-SWAP，原仓位保证金：2141.6USDT，现仓位保证金：3512.12USDT
2023-12-20 21:34:41 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：ALPHA-USDT-SWAP，原仓位保证金：3512.12USDT，现仓位保证金：4884.38USDT
2023-12-20 21:34:58 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：ALPHA-USDT-SWAP，原仓位保证金：4884.38USDT，现仓位保证金：5021.58USDT
2023-12-20 21:35:03 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：ALPHA-USDT-SWAP，原仓位保证金：5021.58USDT，现仓位保证金：5570.5USDT
2023-12-20 22:14:29 | SUCCESS | 交易员BE9D269AE6D59DCF进行了调仓操作，品种：MKR-USDT-SWAP，原仓位保证金：25982.03USDT，现仓位保证金：26648.18USDT
2023-12-20 23:58:06 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：ALPHA-USDT-SWAP，杠杆：10，方向：net
2023-12-20 23:58:06 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：SHIB-USDT-SWAP，杠杆：30，方向：net
2023-12-20 23:58:06 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：IOST-USDT-SWAP，杠杆：14，方向：net
2023-12-20 23:58:06 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：LTC-USDT-SWAP，杠杆：37，方向：net
2023-12-20 23:58:06 | SUCCESS | 交易员BE9D269AE6D59DCF进行了平仓操作，品种：MKR-USDT-SWAP，杠杆：15，方向：net
2023-12-21 00:01:25 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：ALPHA-USDT-SWAP，杠杆：10，方向：net
2023-12-21 00:01:25 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：SHIB-USDT-SWAP，杠杆：30，方向：net
2023-12-21 00:01:25 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：IOST-USDT-SWAP，杠杆：14，方向：net
2023-12-21 00:01:25 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：LTC-USDT-SWAP，杠杆：37，方向：net
2023-12-21 00:01:25 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：MKR-USDT-SWAP，杠杆：15，方向：net
2023-12-21 00:25:33 | SUCCESS | 交易员BE9D269AE6D59DCF进行了开仓操作，品种：DYDX-USDT-SWAP，杠杆：30，方向：net
