2024-03-04 01:11:13 | INFO | 跟单猿跟单系统启动，跟随交易员：123
2024-03-04 01:11:13 | INFO | 交易员123有正在进行中的交易，等待新的交易发生后开始跟随！
2024-03-04 01:11:52 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：322，现仓位：323
2024-03-04 01:13:24 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：323，现仓位：324
2024-03-04 01:23:49 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：324，现仓位：325
2024-03-04 01:31:05 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：325，现仓位：326
2024-03-04 01:36:59 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：326，现仓位：327
2024-03-04 01:38:14 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：327，现仓位：328
2024-03-04 01:42:34 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：328，现仓位：329
2024-03-04 01:43:48 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：329，现仓位：328
2024-03-04 01:44:34 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：328，现仓位：329
2024-03-04 01:53:48 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：329，现仓位：328
2024-03-04 01:54:29 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：328，现仓位：329
2024-03-04 01:55:10 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：329，现仓位：330
2024-03-04 01:57:50 | SUCCESS | 交易员123进行了调仓操作，品种：BTC-USDT-SWAP，原仓位：330，现仓位：300
