2023-11-29 14:54:25 | INFO | 跟单猿交易系统启动，跟随交易员：EEA569A04A98D4E9
2023-11-29 14:54:35 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-11-29 15:09:32 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：short
2023-11-29 15:09:51 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-11-29 15:10:09 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-11-29 16:51:05 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-11-29 16:57:36 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：short
2023-11-29 18:19:05 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-11-29 18:19:25 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:19:45 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:20:04 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:47:26 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:47:45 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:48:03 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:48:22 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-29 18:48:42 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
