2023-11-30 00:14:04 | INFO | 跟单猿交易系统启动，跟随交易员：31F08109D363843E
2023-11-30 00:14:38 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-30 00:18:07 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-30 01:42:26 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：329.00000000000006USDT，减仓占比：33.33%
2023-11-30 01:47:12 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：131.59999999999997USDT，减仓占比：20.00%
2023-11-30 01:47:50 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：131.75USDT，减仓占比：25.00%
2023-11-30 01:49:27 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：132.00000000000003USDT，减仓占比：33.33%
2023-11-30 01:49:41 | SUCCESS | 进行减仓操作，品种：ETH-USDT-SWAP，减仓量：132.0USDT，减仓占比：50.00%
2023-11-30 01:50:19 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-11-30 07:05:43 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-11-30 09:10:39 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-11-30 10:46:11 | SUCCESS | 进行平仓操作，品种:ETH-USDT-SWAP，方向：long
2023-11-30 10:48:25 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：short
2023-11-30 12:12:05 | SUCCESS | 进行加仓操作，品种：ETH-USDT-SWAP，加仓量：100.0USDT，方向：short
2023-11-30 12:21:48 | WARNING | 手动结束跟单，结束跟单并不会平仓。如有正在进行中的交易，请及时手动在交易所平仓，避免资金损失！
