2024-03-04 01:11:52 | INFO | 跟单猿交易系统启动，跟随交易员：123
2024-03-04 01:12:18 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:14:02 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:22:34 | INFO | 跟单猿交易系统启动，跟随交易员：123
2024-03-04 01:24:33 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:30:18 | INFO | 跟单猿交易系统启动，跟随交易员：123
2024-03-04 01:31:49 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:36:13 | INFO | 跟单猿交易系统启动，跟随交易员：123
2024-03-04 01:37:44 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:38:51 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:40:59 | INFO | 跟单猿交易系统启动，跟随交易员：123
2024-03-04 01:43:19 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:43:49 | INFO | 跟单猿交易系统启动，跟随交易员：123
2024-03-04 01:44:08 | SUCCESS | 进行减仓操作，品种：BTC-USDT-SWAP，减仓占比：0.30%
2024-03-04 01:45:11 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:53:12 | INFO | 跟单猿交易系统启动，跟随交易员：123
2024-03-04 01:54:03 | SUCCESS | 进行减仓操作，品种：BTC-USDT-SWAP，减仓占比：0.30%
2024-03-04 01:54:48 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:55:29 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，金额：11.0USDT，方向：long
2024-03-04 01:57:57 | SUCCESS | 进行减仓操作，品种：BTC-USDT-SWAP，暂时没有仓位，继续跟单中...
2024-03-04 02:17:17 | INFO | 跟单猿交易系统启动，跟随交易员：123
